Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-01-02;37,71;37,71;37,71;37,71;;
2017-12-29;37,82;37,82;37,82;37,82;;
2017-12-28;37,86;37,86;37,86;37,86;;
2017-12-27;37,95;37,95;37,95;37,95;;
2017-12-22;37,92;37,92;37,92;37,92;;
2017-12-21;37,96;37,96;37,96;37,96;;
2017-12-20;37,74;37,74;37,74;37,74;;
2017-12-19;38,00;38,00;38,00;38,00;;
2017-12-18;38,14;38,14;38,14;38,14;;
2017-12-15;37,71;37,71;37,71;37,71;;
2017-12-14;37,7817;37,7817;37,7817;37,7817;;
2017-12-13;37,951;37,951;37,951;37,951;;
2017-12-12;38,0406;38,0406;38,0406;38,0406;;
2017-12-11;37,7917;37,7917;37,7917;37,7917;;
2017-12-08;37,8116;37,8116;37,8116;37,8116;;
2017-12-07;37,5327;37,5327;37,5327;37,5327;;
2017-12-06;37,5228;37,5228;37,5228;37,5228;;
2017-12-05;37,5626;37,5626;37,5626;37,5626;;
2017-12-04;37,6224;37,6224;37,6224;37,6224;;
2017-12-01;37,2838;37,2838;37,2838;37,2838;;
2017-11-30;37,5527;37,5527;37,5527;37,5527;;
2017-11-29;37,6821;37,6821;37,6821;37,6821;;
2017-11-28;37,5925;37,5925;37,5925;37,5925;;
2017-11-27;37,3834;37,3834;37,3834;37,3834;;
2017-11-24;37,5626;37,5626;37,5626;37,5626;;
2017-11-23;37,6124;37,6124;37,6124;37,6124;;
2017-11-22;37,5925;37,5925;37,5925;37,5925;;
2017-11-21;37,6921;37,6921;37,6921;37,6921;;
2017-11-20;37,5228;37,5228;37,5228;37,5228;;
2017-11-17;37,2738;37,2738;37,2738;37,2738;;
2017-11-16;37,3834;37,3834;37,3834;37,3834;;
2017-11-15;37,0747;37,0747;37,0747;37,0747;;
2017-11-14;37,2639;37,2639;37,2639;37,2639;;
2017-11-13;37,483;37,483;37,483;37,483;;
2017-11-10;37,7319;37,7319;37,7319;37,7319;;
2017-11-09;37,8614;37,8614;37,8614;37,8614;;
2017-11-08;38,2697;38,2697;38,2697;38,2697;;
2017-11-07;38,2896;38,2896;38,2896;38,2896;;
2017-11-06;38,4788;38,4788;38,4788;38,4788;;
