Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-01-04;22,95;22,95;22,93;22,93;1.355;31.095
2018-01-03;22,862;23,115;22,815;23,115;1.966;45.039
2018-01-02;22,833;22,833;22,592;22,66;2.470;56.096
2017-12-29;22,898;22,898;22,838;22,89;1.402;32.064
2017-12-28;22,86;22,928;22,821;22,821;3.109;71.178
2017-12-27;23,063;23,063;22,889;22,889;1.657;38.056
2017-12-22;23,069;23,069;23,05;23,059;1.951;44.989
2017-12-21;22,985;23,068;22,955;23,066;2.949;67.816
2017-12-20;23,108;23,108;22,985;22,985;1.275;29.414
2017-12-19;23,282;23,282;23,059;23,059;3.078;71.242
2017-12-18;23,283;23,283;23,168;23,259;4.340;100.805
2017-12-15;22,986;23,186;22,90;23,186;688;15.846
2017-12-14;22,961;22,961;22,946;22,959;34;781
2017-12-13;23,084;23,10;23,049;23,10;10.543;243.290
2017-12-12;22,959;23,2439;22,959;23,2439;4.244;97.728
2017-12-11;22,9273;22,9392;22,8548;22,9392;4.295;98.298
2017-12-08;22,8211;22,9451;22,8211;22,9451;851;19.493
2017-12-07;22,7188;22,7218;22,7089;22,7218;584;13.273
2017-12-06;22,562;22,7138;22,556;22,7138;3.346;75.533
2017-12-05;22,7357;22,7704;22,5997;22,687;1.418;32.219
2017-12-04;22,832;22,8578;22,7406;22,832;3.522;80.345
2017-12-01;22,5907;22,6523;22,4131;22,4845;4.861;109.792
2017-11-30;22,555;22,6831;22,5014;22,5987;1.682;38.041
2017-11-29;22,4994;22,5252;22,4716;22,5103;1.374;30.922
2017-11-28;22,2453;22,4091;22,2453;22,4091;881;19.644
2017-11-27;22,1262;22,1937;22,1262;22,1927;4.790;106.157
2017-11-24;22,2612;22,2741;22,1401;22,1907;649;14.405
2017-11-23;22,3158;22,3982;22,2522;22,3982;4.733;105.437
2017-11-22;22,4349;22,4994;22,3773;22,3833;1.436;32.195
2017-11-21;22,3664;22,5679;22,3446;22,561;3.589;80.681
2017-11-20;22,3029;22,3833;22,2066;22,3833;1.313;29.288
2017-11-17;22,2552;22,2572;22,2314;22,2463;221;4.909
2017-11-16;22,1788;22,278;22,1718;22,278;4.233;93.996
2017-11-15;22,15;22,15;21,9763;21,9763;403;8.873
2017-11-14;22,4041;22,4041;22,1629;22,1629;728;16.217
2017-11-13;22,3962;22,5093;22,3843;22,5093;5.603;125.589
2017-11-10;22,4875;22,4994;22,4131;22,4309;1.346;30.180
2017-11-09;22,7029;22,7029;22,3882;22,5788;2.029;45.759
2017-11-08;22,6761;22,7208;22,6245;22,7109;2.373;53.778
2017-11-07;22,7327;22,7526;22,7198;22,7297;1.766;40.151
2017-11-06;22,6305;22,6831;22,5739;22,6831;3.594;81.342
2017-11-03;22,4945;22,6364;22,4806;22,6364;679;15.276
2017-11-02;22,4984;22,4984;22,3356;22,3932;4.343;97.366
2017-11-01;22,6503;22,6503;22,4786;22,4786;1.707;38.452
2017-10-31;22,5878;22,6185;22,5808;22,5808;728;16.456
2017-10-30;22,5709;22,6314;22,3356;22,3356;7.694;173.425
2017-10-27;22,286;22,5312;22,286;22,5312;2.414;54.173
2017-10-26;21,9644;22,2066;21,9644;22,2066;1.593;35.314
2017-10-25;22,1013;22,1361;21,9078;21,9078;2.378;52.470
2017-10-24;22,1301;22,1768;22,1162;22,1162;638;14.133
2017-10-23;22,1808;22,2761;22,1728;22,1728;3.316;73.699
2017-10-20;21,9912;22,0994;21,9912;22,0944;3.246;71.611
2017-10-19;22,0517;22,0517;21,8323;21,9276;1.164;25.463
2017-10-18;22,1073;22,1073;22,01;22,0477;2.607;57.543
2017-10-17;22,0338;22,0706;22,0338;22,0706;516;11.375
2017-10-16;21,9832;21,9842;21,9048;21,9842;2.929;64.335
2017-10-13;21,8839;21,9395;21,8145;21,8959;2.736;59.861
2017-10-12;21,8383;21,8701;21,7976;21,8661;1.085;23.694
2017-10-11;21,8244;21,8661;21,8224;21,8482;2.031;44.329
2017-10-10;21,9187;21,9187;21,8671;21,882;743;16.270
2017-10-09;22,0626;22,0636;21,9902;21,9902;2.019;44.492
2017-10-06;22,1083;22,1301;21,9902;21,9902;7.733;170.378
2017-10-05;21,8393;22,1053;21,8393;22,0597;3.403;75.071
2017-10-04;21,737;21,878;21,736;21,8234;4.524;98.752
2017-10-03;21,7509;22,0428;21,7509;22,0428;397;8.725
2017-10-02;21,7966;21,8055;21,6378;21,6378;4.877;105.913
2017-09-29;21,5395;21,6189;21,5037;21,608;1.018;21.959
2017-09-28;21,5981;21,5981;21,5216;21,5911;1.168;25.168
2017-09-27;21,5881;21,6527;21,5405;21,6378;614;13.262
2017-09-26;21,4184;21,5047;21,4184;21,475;337;7.244
2017-09-25;21,2188;21,3499;21,2188;21,2993;2.039;43.405
2017-09-22;21,1781;21,1781;21,1116;21,1384;365;7.717
2017-09-21;21,3429;21,3449;21,2695;21,2695;2.226;47.479
2017-09-20;21,1533;21,2427;21,1424;21,2427;940;19.924
2017-09-19;21,1245;21,2119;21,1245;21,2119;5.892;124.752
2017-09-18;21,2586;21,3201;21,1781;21,1781;1.959;41.656
2017-09-14;21,2188;21,2437;21,2188;21,2437;173;3.679
2017-09-13;21,1196;21,2824;21,0402;21,2824;1.112;23.561
2017-09-12;21,0531;21,1345;21,0531;21,1047;402;8.476
2017-09-11;20,8456;21,0987;20,8456;21,0987;2.213;46.296
2017-09-08;20,6451;20,7036;20,6222;20,7036;7.695;158.887
2017-09-07;20,8843;20,8843;20,7324;20,7622;2.585;53.740
2017-09-06;20,9042;20,9042;20,8535;20,8734;939;19.589
2017-09-05;21,0173;21,0173;20,7711;20,7711;520;10.877
2017-09-04;21,0382;21,0848;20,929;20,9677;557;11.709
2017-09-01;21,0094;21,1662;21,0094;21,1484;318;6.700
2017-08-31;20,921;21,0689;20,921;21,0689;1.043;21.927
2017-08-30;20,8108;20,8992;20,7215;20,8992;1.284;26.751
2017-08-29;20,5379;20,6818;20,3294;20,6818;2.173;44.473
2017-08-28;20,7721;20,7721;20,5518;20,5518;3.677;76.006
2017-08-25;20,9478;20,9478;20,8238;20,8238;1.028;21.510
2017-08-24;20,9796;20,9796;20,8724;20,8724;357;7.467
2017-08-23;20,9369;20,9389;20,9369;20,9389;80;1.675
2017-08-22;20,8774;21,058;20,8734;21,058;533;11.182
2017-08-21;20,8843;20,8843;20,7175;20,7195;742;15.451
2017-08-18;20,9508;20,9508;20,8506;20,9052;644;13.433
2017-08-17;21,2913;21,2913;21,1831;21,1831;859;18.259
2017-08-16;21,3429;21,4025;21,2734;21,2734;5.512;117.349
2017-08-15;21,3429;21,3489;21,2546;21,2546;459;9.786
2017-08-14;20,9399;21,1345;20,9151;21,1345;3.051;63.971
2017-08-11;20,8555;20,9548;20,8238;20,8575;3.532;73.747
2017-08-10;21,2705;21,2705;20,9637;20,9637;1.166;24.758
2017-08-09;21,2417;21,2834;21,201;21,2367;399;8.473
2017-08-08;21,193;21,4243;21,1801;21,2923;2.386;50.711
2017-08-07;21,2407;21,2973;21,199;21,199;2.320;49.231
2017-08-04;21,0441;21,3102;21,0441;21,1891;2.140;45.353
2017-08-03;21,0689;21,1186;20,9935;20,9935;1.728;36.373
2017-08-02;21,1424;21,1503;20,9389;21,0541;14.751;311.311
2017-08-01;21,1861;21,2248;21,1126;21,2248;278;5.890
2017-07-31;21,1871;21,3122;21,1037;21,1265;808;17.131
2017-07-28;21,2764;21,2794;21,192;21,2437;1.423;30.238
2017-07-27;21,3151;21,4611;21,2705;21,2705;2.147;45.884
2017-07-26;21,4918;21,5107;21,34;21,34;1.144;24.590
2017-07-25;21,3906;21,4938;21,3896;21,4938;1.290;27.642
2017-07-24;21,3578;21,4075;21,3548;21,3955;1.206;25.771
2017-07-21;21,4353;21,4353;21,3429;21,3727;2.045;43.795
2017-07-20;21,7122;21,7529;21,4621;21,5037;1.668;36.031
2017-07-19;21,5742;21,6576;21,5742;21,6189;117;2.525
2017-07-18;21,5504;21,5504;21,4124;21,4343;1.558;33.489
2017-07-17;21,6765;21,6804;21,605;21,605;1.119;24.232
2017-07-14;21,7221;21,7221;21,5842;21,604;1.390;30.070
2017-07-13;21,6636;21,7132;21,6149;21,7132;650;14.082
2017-07-12;21,4005;21,6129;21,3648;21,6129;1.990;42.755
2017-07-11;21,4725;21,4725;21,3654;21,3654;611;13.069
2017-07-10;21,4921;21,496;21,4892;21,496;544;11.683
2017-07-07;21,3182;21,4666;21,3025;21,4214;564;12.038
2017-07-06;21,6021;21,6021;21,3133;21,3133;3.653;78.546
2017-07-05;21,5766;21,6984;21,5638;21,6915;2.107;45.591
2017-07-04;21,4852;21,6346;21,4852;21,5913;2.656;57.228
2017-07-03;21,498;21,6228;21,4882;21,611;3.344;72.107
2017-06-30;21,4086;21,4656;21,4086;21,4656;1.127;24.172
2017-06-29;21,6424;21,6424;21,277;21,277;1.635;35.167
2017-06-28;21,4342;21,6581;21,4145;21,608;923;19.904
2017-06-27;22,0127;22,0127;21,5314;21,6031;6.272;137.286
2017-06-26;21,9784;22,0206;21,9165;22,0127;1.554;34.178
2017-06-23;21,9793;21,9793;21,9793;21,9793;87;1.902
2017-06-22;22,0088;22,0088;21,9852;21,9872;165;3.627
2017-06-21;21,9872;22,0619;21,9872;22,0039;1.099;24.221
2017-06-20;22,1571;22,165;22,1021;22,1021;1.521;33.659
2017-06-19;21,9175;22,0982;21,9175;22,0982;798;17.566
2017-06-16;21,9823;22,0206;21,9116;21,9116;2.063;45.395
2017-06-15;21,8644;21,9489;21,8644;21,9489;265;5.792
2017-06-14;21,886;21,9401;21,723;21,777;954;20.760
2017-06-13;21,8674;21,9951;21,8516;21,9941;638;14.024
2017-06-12;21,8477;21,8477;21,7564;21,8222;574;12.507
2017-06-09;21,8418;22,0226;21,8418;21,8644;922;20.211
2017-06-08;21,8182;21,8595;21,7858;21,7858;695;15.185
2017-06-07;21,7465;21,8693;21,6896;21,7662;619;13.482
2017-06-06;21,7642;21,7701;21,6866;21,7318;3.257;70.749
2017-06-05;21,7249;21,7672;21,7102;21,7397;936;20.326
2017-06-02;21,8625;21,8782;21,8359;21,8359;407;8.902
2017-06-01;21,7033;21,7033;21,6267;21,6689;9.095;197.164
2017-05-31;21,7239;21,7289;21,5403;21,5795;1.041;22.518
2017-05-30;21,8202;21,8202;21,6994;21,7515;1.510;32.873
2017-05-29;21,7976;21,8271;21,7485;21,774;4.139;90.216
2017-05-26;21,6866;21,7711;21,667;21,7711;514;11.172
2017-05-25;21,6847;21,6847;21,6188;21,6463;1.119;24.210
2017-05-24;21,6228;21,6228;21,5717;21,5943;2.899;62.620
2017-05-23;21,4833;21,5933;21,4381;21,5933;1.771;37.993
2017-05-22;21,4489;21,4823;21,3418;21,4558;1.485;31.803
2017-05-19;21,3821;21,4754;21,3114;21,4754;1.479;31.596
2017-05-18;21,3143;21,4067;21,2377;21,3664;3.197;68.006
2017-05-17;21,6797;21,6797;21,3516;21,4371;7.252;156.272
2017-05-16;21,9941;21,9941;21,7583;21,7907;3.777;82.550
2017-05-15;22,0678;22,0678;21,9528;21,9617;4.349;95.699
2017-05-12;22,1709;22,1709;22,0039;22,0265;967;21.371
2017-05-11;22,1365;22,1827;22,0628;22,1287;1.418;31.376
2017-05-10;22,1237;22,1729;22,0737;22,1552;1.340;29.650
2017-05-09;22,0108;22,2348;22,0108;22,2348;1.996;44.205
2017-05-08;21,9499;22,1179;21,9499;22,0982;2.274;50.032
2017-05-05;21,834;21,9322;21,834;21,8988;3.235;70.816
2017-05-04;22,0864;22,0864;21,8251;21,8792;12.153;267.429
2017-05-03;21,9568;22,0167;21,9243;22,0167;2.493;54.721
2017-05-02;22,0236;22,0461;21,9224;21,9784;6.521;143.489
2017-04-28;22,0078;22,0255;21,9577;21,9872;2.493;54.853
2017-04-27;21,9813;22,1208;21,9695;22,0756;2.155;47.544
2017-04-26;21,9155;22,1738;21,9155;22,0854;3.868;85.313
2017-04-25;21,9194;21,9872;21,9057;21,9528;1.611;35.365
2017-04-24;22,0864;22,0864;21,9057;22,054;7.799;171.914
2017-04-21;22,1562;22,1562;22,0363;22,0363;2.028;44.821
2017-04-20;21,9332;22,1758;21,8408;22,1758;12.214;267.525
2017-04-19;21,943;22,056;21,943;21,9548;2.566;56.468
2017-04-18;22,1896;22,1896;21,9057;21,9381;5.134;113.405
2017-04-13;22,0805;22,1856;22,0687;22,1277;724;16.018
2017-04-12;22,2181;22,2829;22,112;22,112;1.882;41.791
